	source	target	embedding_similarity	pair_distance	language_distance	shared_incoming_cnt	shared_outgoing_cnt	source_incoming_cnt	target_incoming_cnt	source_outgoing_cnt	target_outgoing_cnt	milne_witten	begin_time_distance	interval_overlap	relevance_score
414	1._Division_(Belgien)_2005/06	1._Division_(Belgien)_2004/05	0.9474280476570128	0.0	0.0	1	4	12	7	8	7	0.8076380067137233	349.0	339.0	0.172158253835181
415	1._Division_(Belgien)_2005/06	1._Division_(Belgien)_2006/07	0.9759029150009156	0.0	0.0	7	7	12	26	8	8	0.8939978904799615	379.0	353.0	0.1186828149830542
416	1._Division_(Belgien)_2006/07	1._Division_(Belgien)_2005/06	0.9759029150009156	0.0	0.0	7	7	26	12	8	8	0.8939978904799615	379.0	353.0	0.2475657115010331
417	1._Division_(Belgien)_2006/07	1._Division_(Belgien)_2007/08	0.9630008935928344	0.0	0.0	4	6	26	14	8	8	0.846883838579682	357.0	345.0	0.2589938338735398
418	1._Division_(Belgien)_2008/09	1._Division_(Belgien)_2009/10	0.9681744575500488	0.0	0.0	7	6	23	33	10	12	0.867789904281038	358.0	358.0	0.0897690862977874
419	1._Division_(Belgien)_2009/10	1._Division_(Belgien)_2010/11	0.9704484343528748	0.0	0.0	9	8	33	35	12	13	0.8805233331721907	373.0	373.0	0.1444993987197819
420	1._Division_(Belgien)_2010/11	1._Division_(Belgien)_2009/10	0.9704484343528748	0.0	0.0	9	8	35	33	13	12	0.8805233331721907	373.0	373.0	0.0616892412553494
421	1._Division_(Belgien)_2010/11	1._Division_(Belgien)_2011/12	0.9534313678741456	0.0	0.0	8	8	35	41	13	13	0.8554944715247975	74.0	74.0	0.079906031656515
422	1._Division_(Belgien)_2011/12	1._Division_(Belgien)_2012/13	0.9601750373840332	0.0	0.0	17	4	41	32	13	8	0.9227622797850632	666.0	367.0	0.1733530414737708
423	1._Division_(Belgien)_2012/13	1._Division_(Belgien)_2013/14	0.9788023829460144	0.0	0.0	15	4	32	31	8	7	0.9337095691376878	361.0	361.0	0.1957600438763794
424	1._Division_(Belgien)_2013/14	1._Division_(Belgien)_2012/13	0.9788023829460144	0.0	0.0	15	4	31	32	7	8	0.9337095691376878	361.0	361.0	0.0575284121523364
425	1._Division_(Belgien)_2013/14	1._Division_(Belgien)_2014/15	0.9562366604804992	0.0	0.0	5	3	31	31	7	5	0.8403689571696888	374.0	374.0	0.2891127785952353
426	1._Division_(Belgien)_2014/15	1._Division_(Belgien)_2013/14	0.9562366604804992	0.0	0.0	5	3	31	31	5	7	0.8403689571696888	374.0	374.0	0.0517300175520045
427	1._Division_(Belgien)_2014/15	1._Division_(Belgien)_2015/16	0.9539552927017212	0.0	0.0	6	3	31	36	5	4	0.8432377607883463	364.0	364.0	0.2629840078790891
428	1._Division_(Belgien)_2015/16	1._Division_(Belgien)_2014/15	0.9539552927017212	0.0	0.0	6	3	36	31	4	5	0.8432377607883463	364.0	364.0	0.1473702075047148
429	1._Division_(Belgien)_2015/16	Division_1A_2016/17	0.9412037134170532	0.0	0.0	7	3	36	33	4	7	0.8559364873603338	367.0	367.0	0.4049670764468343
430	1._Division_(Deutsches_Kaiserreich)	Erstürmung_des_Zwinin	0.8628096580505371	10854.989453951222	6.143745408886156	3	2	99	13	53	36	0.7157039992894474	71704.0	34451.0	5.498396978263695
431	1._Division_(Deutsches_Kaiserreich)	Gefecht_bei_Stallupönen	0.916021466255188	13940.003839096516	8.191356226155643	6	3	99	14	53	24	0.7706810121822099	35291.0	-136.0	4.696939334088919
